data_amount,learning_rate,num_filters,dense_unit,batch_size,epochs,accuracy
1322,0.001,32,256,32,250,0.8981131911277771
1322,0.001,32,256,32,500,0.8867924809455872
1322,0.001,32,256,64,250,0.8943396210670471
1322,0.001,32,256,64,500,0.8830188512802124
1322,0.001,32,256,128,250,0.9018868207931519
1322,0.001,32,256,128,500,0.9018868207931519
1322,0.001,32,512,32,250,0.8943396210670471
1322,0.001,32,512,32,500,0.8943396210670471
1322,0.001,32,512,64,250,0.8867924809455872
1322,0.001,32,512,64,500,0.8905660510063171
1322,0.001,32,512,128,250,0.8943396210670471
1322,0.001,32,512,128,500,0.8943396210670471
1322,0.001,64,256,32,250,0.8830188512802124
1322,0.001,64,256,32,500,0.9056603908538818
1322,0.001,64,256,64,250,0.8943396210670471
1322,0.001,64,256,64,500,0.9094339609146118
1322,0.001,64,256,128,250,0.8716981410980225
1322,0.001,64,256,128,500,0.8981131911277771
1322,0.001,64,512,32,250,0.8981131911277771
1322,0.001,64,512,32,500,0.8867924809455872
1322,0.001,64,512,64,250,0.8830188512802124
1322,0.001,64,512,64,500,0.9056603908538818
1322,0.001,64,512,128,250,0.8867924809455872
1322,0.001,64,512,128,500,0.9132075309753418
1322,0.001,128,256,32,250,0.9018868207931519
1322,0.001,128,256,32,500,0.9056603908538818
1322,0.001,128,256,64,250,0.9018868207931519
1322,0.001,128,256,64,500,0.9018868207931519
1322,0.001,128,256,128,250,0.9018868207931519
1322,0.001,128,256,128,500,0.9018868207931519
1322,0.001,128,512,32,250,0.8943396210670471
1322,0.001,128,512,32,500,0.8981131911277771
1322,0.001,128,512,64,250,0.8867924809455872
1322,0.001,128,512,64,500,0.9018868207931519
1322,0.001,128,512,128,250,0.8905660510063171
1322,0.001,128,512,128,500,0.9094339609146118
1322,0.0001,32,256,32,250,0.8641509413719177
1322,0.0001,32,256,32,500,0.8905660510063171
1322,0.0001,32,256,64,250,0.8641509413719177
1322,0.0001,32,256,64,500,0.8867924809455872
1322,0.0001,32,256,128,250,0.8830188512802124
1322,0.0001,32,256,128,500,0.8792452812194824
1322,0.0001,32,512,32,250,0.8981131911277771
1322,0.0001,32,512,32,500,0.8716981410980225
1322,0.0001,32,512,64,250,0.8792452812194824
1322,0.0001,32,512,64,500,0.8830188512802124
1322,0.0001,32,512,128,250,0.8603773713111877
1322,0.0001,32,512,128,500,0.8792452812194824
1322,0.0001,64,256,32,250,0.8754717111587524
1322,0.0001,64,256,32,500,0.8981131911277771
1322,0.0001,64,256,64,250,0.8792452812194824
1322,0.0001,64,256,64,500,0.8830188512802124
1322,0.0001,64,256,128,250,0.8905660510063171
1322,0.0001,64,256,128,500,0.8981131911277771
1322,0.0001,64,512,32,250,0.8905660510063171
1322,0.0001,64,512,32,500,0.8943396210670471
1322,0.0001,64,512,64,250,0.9018868207931519
1322,0.0001,64,512,64,500,0.8830188512802124
1322,0.0001,64,512,128,250,0.8905660510063171
1322,0.0001,64,512,128,500,0.8943396210670471
1322,0.0001,128,256,32,250,0.8981131911277771
1322,0.0001,128,256,32,500,0.8905660510063171
1322,0.0001,128,256,64,250,0.8867924809455872
1322,0.0001,128,256,64,500,0.9056603908538818
1322,0.0001,128,256,128,250,0.8867924809455872
1322,0.0001,128,256,128,500,0.9132075309753418
1322,0.0001,128,512,32,250,0.8943396210670471
1322,0.0001,128,512,32,500,0.9056603908538818
1322,0.0001,128,512,64,250,0.9056603908538818
1322,0.0001,128,512,64,500,0.9018868207931519
1322,0.0001,128,512,128,250,0.9018868207931519
1322,0.0001,128,512,128,500,0.8981131911277771
1322,1e-05,32,256,32,250,0.852830171585083
1322,1e-05,32,256,32,500,0.8603773713111877
1322,1e-05,32,256,64,250,0.8264151215553284
1322,1e-05,32,256,64,500,0.8566038012504578
1322,1e-05,32,256,128,250,0.6716980934143066
1322,1e-05,32,256,128,500,0.8641509413719177
1322,1e-05,32,512,32,250,0.8679245114326477
1322,1e-05,32,512,32,500,0.8679245114326477
1322,1e-05,32,512,64,250,0.8679245114326477
1322,1e-05,32,512,64,500,0.8377358317375183
1322,1e-05,32,512,128,250,0.8679245114326477
1322,1e-05,32,512,128,500,0.8566038012504578
1322,1e-05,64,256,32,250,0.8603773713111877
1322,1e-05,64,256,32,500,0.8792452812194824
1322,1e-05,64,256,64,250,0.8754717111587524
1322,1e-05,64,256,64,500,0.8754717111587524
1322,1e-05,64,256,128,250,0.8641509413719177
1322,1e-05,64,256,128,500,0.8603773713111877
1322,1e-05,64,512,32,250,0.8603773713111877
1322,1e-05,64,512,32,500,0.8830188512802124
1322,1e-05,64,512,64,250,0.849056601524353
1322,1e-05,64,512,64,500,0.852830171585083
1322,1e-05,64,512,128,250,0.8603773713111877
1322,1e-05,64,512,128,500,0.8641509413719177
1322,1e-05,128,256,32,250,0.8754717111587524
1322,1e-05,128,256,32,500,0.8792452812194824
1322,1e-05,128,256,64,250,0.8641509413719177
1322,1e-05,128,256,64,500,0.8716981410980225
1322,1e-05,128,256,128,250,0.8566038012504578
1322,1e-05,128,256,128,500,0.8754717111587524
1322,1e-05,128,512,32,250,0.8716981410980225
1322,1e-05,128,512,32,500,0.8867924809455872
1322,1e-05,128,512,64,250,0.8641509413719177
1322,1e-05,128,512,64,500,0.8754717111587524
1322,1e-05,128,512,128,250,0.8905660510063171
1322,1e-05,128,512,128,500,0.8792452812194824
